In-House Name,Instances,Length,Matches TG-263,TG-263 suggestion,Reason,Structure Type,Rules
MOD1_PTV66,8,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1_PTV56,35,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1_PTV60,40,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1_PTV70,36,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1_PTV70+66+60,1,16,False,,PTV/CTV/GTV,target,['TBD']
MOD1_PTV70+PTV66,1,16,False,,PTV/CTV/GTV,target,['TBD']
MOD1_PTV_ALL,32,12,False,,PTV/CTV/GTV,target,['TBD']
SHOULDER_R,3,10,False,,,non-target,[]
Lung_L,21,6,True,,,non-target,[]
Lung_R,20,6,True,,,non-target,[]
PHARYNX,86,7,False,Laryngl_Pharynx,,non-target,[]
AIR,27,3,False,AirWay_Dist,,non-target,[]
DENSITY OVERRIDE,47,16,False,,,non-target,[5]
PTV56 cropped,1,13,False,,PTV/CTV/GTV,target,['TBD']
Brainstem_PRV3,11,14,False,,,non-target,[]
Density overide,5,15,False,,,non-target,[5]
OPTIC_APPERATUS,1,15,False,,,non-target,[]
TEMP_LOBE_L_NOS,1,15,False,,nos,non-target,[]
TEMP_LOBE_R_NOS,1,15,False,,nos,non-target,[]
Ring Avoid,3,10,False,,avoid,non-target,[5]
LUNGS,7,5,False,Lungs,casing,non-target,[4]
Body_CBCT22Nov16,2,16,False,,,non-target,[]
Body_CT21Oct16,2,14,False,,,non-target,[]
22Nov16filledair,2,16,False,,,non-target,[]
14_dec_filledair,1,16,False,,,non-target,[]
Ear_R,1,5,False,,,non-target,[]
SCAR,1,4,False,Scar,casing,non-target,[4]
MOD1_GTV,14,8,False,,PTV/CTV/GTV,target,['TBD']
Bolus,29,5,True,,,non-target,[]
MOD1_PTV ALL,6,12,False,,PTV/CTV/GTV,target,['TBD']
PTV_6600-05,85,11,False,,PTV/CTV/GTV,target,['TBD']
Spc_Retrophar_R,486,15,True,,,non-target,[]
Spc_Retrophar_L,490,15,True,,,non-target,[]
CTV_6600,123,8,False,,PTV/CTV/GTV,target,['TBD']
z_Air,466,5,False,,z,non-target,[]
z_Ring_6600,110,11,False,,z,non-target,[]
z_PTV_ALL,7,9,False,,z,target,['TBD']
z_AVOID61.6,100,11,False,,avoid,non-target,[]
z_AVOID61.6-HARD,79,16,False,,avoid,non-target,[]
z_BP_R_OS_MRG_56,14,16,False,,z,non-target,[]
z_MANDIBLE_NOS,56,14,False,,z,non-target,[]
z_MNDB_OS_MRG_66,2,16,False,,z,non-target,[]
z_NORMAL2,21,9,False,,z,non-target,[]
z_NORMAL3,21,9,False,,z,non-target,[]
z_ORALCAV_NOS,165,13,False,,z,non-target,[]
z_PHARYNX_NOS,155,13,False,,z,non-target,[]
PTV!_5600-5,3,11,False,,PTV/CTV/GTV,target,['TBD']
Skin,355,4,True,,,non-target,[]
PTV_7000-5,3,10,False,,PTV/CTV/GTV,target,['TBD']
LN_NECK_R,119,9,False,,,non-target,[]
LN_NECK_L,117,9,False,,,non-target,[]
Level_V_L,70,9,False,,,non-target,[]
Level_IV_R,70,10,False,,,non-target,[]
Level_IV_L,70,10,False,,,non-target,[]
Level_III_R,70,11,False,,,non-target,[]
Level_III_L,70,11,False,,,non-target,[]
Level_IIB_R,68,11,False,,,non-target,[]
Level_IIB_L,68,11,False,,,non-target,[]
PETp,1,4,False,,,non-target,[]
CouchInterior1,3,14,False,,,non-target,[]
z_CTVall,6,8,False,,z,target,['TBD']
Constrict_I-CTV,35,15,False,,PTV/CTV/GTV,target,['TBD']
Constrict_SM-CTV,35,16,False,,PTV/CTV/GTV,target,['TBD']
CouchSurface1,3,13,False,,,non-target,[]
z_Dose 50[%]C1,1,14,False,,z,non-target,[5]
Level_V_R,70,9,False,,,non-target,[]
Level_VI,70,8,False,,,non-target,[]
Level_IIA_R,68,11,False,,,non-target,[]
Level_IIA_L,68,11,False,,,non-target,[]
Level_IB_R,68,10,False,,,non-target,[]
Level_IB_L,68,10,False,,,non-target,[]
Level_IA,65,8,False,,,non-target,[]
SHOULDER_L,2,10,False,,,non-target,[]
PTV66+PTV60,18,11,False,,PTV/CTV/GTV,target,['TBD']
FrontalAvoid,7,12,False,,avoid,non-target,[]
BODY+support,1,12,False,,,non-target,[]
LENS_R PRV,1,10,False,,,non-target,[5]
